ZCTA5,Median Income 2000,Inflation Adjusted 2000,Median Income 2014,percent change,gentrified,autocustomization,autoloanproviders,autopartssupplies,autorepair,barbers,barreclasses,bars,beergardens,bespoke,bikes,blowoutservices,bodyshops,bootcamps,breakfast_brunch,breweries,cafes,carshares,coffee,cyclingclasses,discountstore,divebars,dog_parks,doulas,foodbanks,galleries,guns_and_ammo,gyms,hairstylists,healthmarkets,juicebars,kombucha,mexican,musicvenues,organic_stores,paintandsip,pawn,pilates,skate_parks,tattoo,thrift_stores,vegan,vegetarian,vintage,wine_bars,yoga
78610,"$60,528.00","$83,207.72","$74,550.00",-10%,,0,0,7,0,1,0,2,0,0,1,0,4,0,0,0,2,0,4,0,1,0,0,0,0,0,2,4,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,1,0,1
78613,"$69,542.00","$95,599.25","$83,146.00",-13%,,0,1,7,0,13,2,7,0,0,0,5,5,2,6,1,5,0,9,0,1,1,1,1,0,0,2,20,14,1,4,0,25,0,0,1,3,4,0,0,3,0,0,1,1,5
78617,"$40,392.00","$55,526.80","$45,040.00",-19%,,0,0,2,0,1,0,0,0,0,0,0,1,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,1,0
78641,"$57,294.00","$78,761.95","$73,535.00",-7%,,0,0,3,0,1,0,0,0,0,0,1,3,0,0,0,0,0,2,0,1,0,2,0,0,0,3,7,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,2
78652,"$69,831.00","$95,996.54","$70,868.00",-26%,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
78653,"$50,260.00","$69,092.32","$62,415.00",-10%,,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0
78660,"$65,978.00","$90,699.83","$75,138.00",-17%,,0,0,9,4,11,0,5,0,0,0,0,7,0,5,1,0,0,7,0,3,0,3,0,0,0,0,13,17,0,4,0,15,1,0,0,1,0,0,2,2,0,0,0,0,0
78664,"$59,829.00","$82,246.81","$61,673.00",-25%,,0,0,6,7,10,0,6,0,0,1,0,7,2,6,2,1,0,7,0,1,2,0,0,0,0,0,11,15,0,2,0,24,0,0,1,4,3,2,3,3,0,0,2,1,2
78681,"$74,889.00","$102,949.76","$96,086.00",-7%,,0,0,4,0,3,1,3,0,0,0,0,5,1,4,0,1,0,5,0,0,1,0,0,0,1,0,9,11,2,1,0,14,0,0,0,0,0,0,1,1,0,0,0,0,4
78701,"$35,757.00","$49,155.08","$87,306.00",78%,Y,0,0,2,0,6,0,84,0,2,3,0,2,3,17,0,12,0,24,0,0,15,0,0,0,11,0,7,15,2,7,0,26,41,0,1,2,3,1,6,0,6,2,0,8,2
78702,"$23,348.00","$32,096.45","$37,690.00",17%,Y,0,0,3,6,5,0,17,0,0,3,0,10,2,9,3,5,0,18,0,0,9,1,0,0,31,0,2,14,2,5,0,37,7,0,0,5,2,0,12,2,6,0,6,0,11
78703,"$54,591.00","$75,046.14","$81,903.00",9%,,0,0,0,0,5,4,4,0,2,0,3,1,0,3,1,0,0,9,2,0,2,2,0,0,9,0,12,15,0,3,0,9,2,1,0,1,10,0,1,0,2,0,1,1,14
78704,"$35,733.00","$49,122.08","$52,306.00",6%,,2,1,13,17,10,2,17,2,2,8,0,8,5,13,3,0,0,32,0,3,6,1,3,0,16,1,15,21,2,6,0,59,13,0,2,5,6,0,18,5,8,3,15,4,21
78705,"$14,740.00","$20,263.05","$12,786.00",-37%,,0,0,0,0,4,0,6,0,0,4,0,0,1,6,0,8,1,18,0,0,0,0,0,0,0,2,3,8,0,5,0,14,6,0,0,1,2,0,6,1,3,0,2,0,2
78717,"$87,290.00","$119,997.39","$99,541.00",-17%,,0,0,3,0,4,0,3,0,0,3,0,1,1,3,0,2,0,5,0,0,0,0,0,0,1,1,7,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,0,1
78719,"$36,480.00","$50,148.98","$38,875.00",-22%,,0,0,2,0,0,0,2,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
78721,"$26,646.00","$36,630.20","$36,698.00",0%,,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
78722,"$35,794.00","$49,205.94","$54,526.00",11%,Y,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,1,0,1,1,0,1,0,6,0,0,0,0,0,0,1,0,0,1,0,0,1
78723,"$34,242.00","$47,072.41","$42,615.00",-9%,,0,0,4,1,6,1,1,0,0,0,0,1,0,1,0,3,0,5,0,2,0,0,0,0,3,0,2,1,0,0,0,18,0,0,0,2,0,0,3,2,0,0,0,0,2
78724,"$36,641.00","$50,370.31","$36,776.00",-27%,,0,0,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0
78725,"$47,076.00","$64,715.28","$65,048.00",1%,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78726,"$89,891.00","$123,572.98","$68,777.00",-44%,,0,0,1,2,3,1,0,0,0,0,1,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
78727,"$62,648.00","$86,122.08","$69,699.00",-19%,,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,6,0,1,0,0,0,0,0,1,3,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0,1
78728,"$51,078.00","$70,216.83","$49,521.00",-29%,,1,1,4,6,1,0,3,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,4
78729,"$59,497.00","$81,790.41","$60,567.00",-26%,,0,0,4,0,2,0,1,0,0,1,0,7,0,0,0,1,0,3,0,0,1,0,0,0,1,2,4,2,0,1,0,2,0,0,0,0,1,0,0,0,0,0,2,0,1
78730,"$128,524.00","$176,681.69","$108,421.00",-39%,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
78731,"$62,404.00","$85,786.65","$79,315.00",-8%,,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0,0,0,5,0,0,1,0,0,0,4,0,5,2,0,1,0,5,0,0,0,0,4,0,0,1,0,0,0,0,1
78732,"$103,951.00","$142,901.23","$128,397.00",-10%,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,2,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,3
78733,"$102,239.00","$140,547.75","$127,250.00",-9%,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78734,"$74,052.00","$101,799.14","$92,904.00",-9%,,0,0,2,3,1,1,3,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,2,0,9,6,1,0,0,6,2,0,0,0,2,0,0,2,0,0,0,2,3
78735,"$75,204.00","$103,382.79","$81,152.00",-22%,,0,0,4,3,2,0,0,0,0,1,0,2,1,1,1,0,0,2,0,0,2,0,0,0,0,1,9,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,2,1,3
78736,"$62,294.00","$85,635.44","$86,439.00",1%,,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1
