ZCTA5,Median Income 2000,Inflation Adjusted 2000,Median Income 2014,percent change,gentrified,autocustomization,autoloanproviders,autopartssupplies,barbers,barreclasses,bars,beergardens,bespoke,bikes,blowoutservices,bodyshops,bootcamps,breakfast_brunch,breweries,cafes,cocktailbars,coffee,coffeeroasteries,cyclingclasses,distilleries,divebars,dog_parks,doulas,empanadas,galleries,gyms,hairstylists,healthmarkets,homelessshelters,intlgrocery,juicebars,mexican,musicvenues,organic_stores,paintandsip,pawn,pets,pilates,publicart,pubs,skate_parks,tattoo,theater,thrift_stores,vapeshops,vegan,vegetarian,vintage,wine_bars,yoga
11201,"$56,293.00","$77,385.88","$98,775.00",28%,,0,0,0,14,5,17,2,0,3,1,2,0,13,0,15,7,48,0,2,1,2,3,1,0,24,15,3,2,1,0,12,19,0,2,0,2,0,10,0,5,0,0,3,4,0,2,0,4,4,10
11203,"$37,341.00","$51,332.60","$46,630.00",-9%,,0,0,3,6,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
11204,"$31,798.00","$43,712.65","$45,593.00",4%,,0,0,0,8,0,0,0,0,0,2,3,0,0,0,5,0,8,0,0,0,0,0,0,0,0,1,0,2,0,0,0,6,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1
11205,"$28,070.00","$38,587.77","$47,050.00",22%,,0,0,0,5,0,9,0,2,5,0,3,0,8,0,8,2,16,1,0,0,1,0,2,0,5,2,2,0,0,0,0,11,1,0,0,0,0,0,0,6,0,2,0,0,0,0,3,0,0,4
11206,"$18,661.00","$25,653.24","$30,686.00",20%,Y,0,0,2,15,0,15,1,0,5,0,0,1,5,0,7,3,27,0,0,0,2,0,0,2,8,6,4,2,0,0,9,16,8,0,0,0,0,2,0,3,0,4,0,7,0,4,2,5,0,2
11207,"$24,163.00","$33,216.83","$33,816.00",2%,,0,0,5,7,0,2,0,0,0,0,3,0,8,0,3,0,7,0,0,0,0,0,0,0,1,2,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
11208,"$27,078.00","$37,224.07","$34,527.00",-7%,,0,0,2,5,0,2,0,0,0,0,3,0,2,0,0,0,6,0,0,0,0,0,0,0,0,2,1,1,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11209,"$44,518.00","$61,198.81","$59,934.00",-2%,,0,0,3,12,0,8,0,0,2,1,2,0,14,0,9,3,26,0,0,0,2,1,0,0,1,10,2,3,0,0,7,10,0,0,0,2,0,0,0,8,0,3,0,0,0,0,0,2,3,5
11210,"$42,967.00","$59,066.65","$56,052.00",-5%,,0,0,1,7,0,1,0,0,1,1,2,0,0,0,3,0,8,0,0,0,0,0,0,0,0,2,3,3,0,0,4,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
11211,"$23,567.00","$32,397.51","$50,943.00",57%,Y,0,0,2,15,1,59,0,1,8,0,4,0,24,2,15,12,47,0,1,0,8,3,0,0,19,13,6,4,0,0,14,37,15,0,0,0,1,5,0,8,0,15,0,7,0,6,5,22,8,15
