ZCTA5,Median Income 2000,Inflation Adjusted 2000,Median Income 2014,percent change,gentrified,autocustomization,autoloanproviders,autopartssupplies,barbers,barreclasses,bars,beergardens,bikes,blowoutservices,bodyshops,bootcamps,breakfast_brunch,breweries,cafes,cannabis_clinics,cannabisdispensaries,carshares,cocktailbars,coffee,coffeeroasteries,cyclingclasses,divebars,dog_parks,doulas,foodbanks,galleries,hairstylists,healthmarkets,juicebars,kombucha,mexican,musicvenues,organic_stores,pawn,pets,pubs,skate_parks,tattoo,thrift_stores,vegan,vegetarian,vintage,wine_bars,yoga
94577,"$50,888.00","$69,955.63","$64,660.00",-8%,,2,0,19,23,0,0,0,4,0,12,3,11,3,2,0,0,0,1,16,0,0,4,1,0,0,0,18,1,0,1,25,0,0,0,0,0,1,2,2,0,0,0,1,2
94601,"$33,152.00","$45,573.99","$39,601.00",-13%,,2,0,10,7,0,4,0,1,0,17,0,5,1,3,3,0,0,0,8,1,0,3,0,1,0,7,6,0,3,0,82,2,0,1,0,0,0,8,2,0,0,1,0,0
94602,"$55,321.00","$76,049.67","$68,813.00",-10%,,0,0,0,6,0,0,0,0,1,1,0,5,0,2,1,0,0,1,7,0,0,1,2,3,0,2,4,2,0,0,6,0,0,0,0,0,0,3,0,0,0,3,0,5
94603,"$34,755.00","$47,777.63","$40,962.00",-14%,,0,0,3,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,1
94605,"$47,288.00","$65,006.72","$57,610.00",-11%,,0,1,3,10,0,1,0,0,0,4,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,2,0,0,0,0,0,2,1,0,0,0,0,3
94606,"$32,273.00","$44,365.63","$37,288.00",-16%,,0,0,9,4,0,1,0,1,0,26,0,0,0,2,3,0,0,0,20,0,0,3,0,1,0,5,3,0,0,0,18,2,0,0,0,0,0,2,2,0,0,1,0,3
94607,"$21,124.00","$29,039.12","$34,192.00",18%,Y,1,0,9,5,0,13,0,1,0,6,0,12,4,10,4,0,0,0,33,2,0,1,2,1,0,11,11,3,6,0,18,0,0,0,0,3,0,1,2,3,2,0,4,2
94608,"$33,556.00","$46,129.37","$55,959.00",21%,,0,0,6,8,0,3,0,3,0,9,2,10,1,0,2,0,0,0,21,3,0,1,0,2,1,11,6,2,3,0,19,0,0,0,0,0,1,0,2,0,1,0,0,15
94609,"$34,398.00","$47,286.86","$56,378.00",19%,,0,0,0,12,0,3,1,3,0,8,2,6,0,3,3,0,0,4,18,0,0,2,1,4,0,8,7,2,2,0,5,2,0,1,0,3,0,3,1,1,0,3,1,15
94610,"$49,066.00","$67,450.93","$73,850.00",9%,,0,0,0,7,2,5,0,3,2,0,0,5,0,3,2,0,0,2,14,0,0,3,0,4,0,4,10,2,3,0,2,0,0,0,0,0,0,3,1,0,0,6,2,14
94611,"$68,853.00","$94,652.08","$107,577.00",14%,,0,0,3,5,2,3,0,3,0,2,5,5,0,4,1,0,0,1,22,0,0,2,0,6,0,6,21,0,3,0,8,0,0,0,0,1,0,2,0,0,0,7,2,12
94612,"$20,034.00","$27,540.70","$30,879.00",12%,Y,0,0,3,14,0,13,4,3,0,7,4,8,2,15,9,1,0,9,34,2,1,5,0,3,0,30,8,0,5,0,21,13,0,2,0,2,0,4,1,3,1,4,2,17
94618,"$77,952.00","$107,160.46","$123,575.00",15%,,0,0,0,6,1,3,0,1,0,0,2,2,0,2,0,0,1,0,12,0,0,2,0,3,0,3,12,0,0,0,2,1,0,0,1,1,1,0,0,1,0,5,2,4
94619,"$54,174.00","$74,472.89","$78,676.00",6%,,0,0,1,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,2,0,2,11,0,1,0,3,0,0,0,0,0,0,1,1,0,0,0,0,2
94621,"$29,181.00","$40,115.06","$30,528.00",-24%,,0,0,5,4,0,4,0,0,0,7,0,0,1,3,3,0,0,0,8,0,0,0,0,0,0,0,0,1,3,0,18,2,1,0,0,2,0,0,0,0,0,0,1,0
median,"$34,755.00","$47,777.63","$56,378.00",6%,,0,0,3,6,0,3,0,1,0,6,0,5,0,2,2,0,0,0,14,0,0,2,0,2,0,4,7,0,2,0,10,0,0,0,0,0,0,2,1,0,0,1,1,3
