ZCTA5,Median Income 2000,Inflation Adjusted 2000,Median Income 2014,percent change,gentrified,autopartssupplies,barreclasses,bars,beergardens,bespoke,bikes,bodyshops,bootcamps,breakfast_brunch,breweries,cafes,cannabis_clinics,cannabisdispensaries,cannabisreferrals,cocktailbars,coffee,coffeeroasteries,cyclingclasses,divebars,dog_parks,doulas,foodbanks,galleries,guns_and_ammo,healthmarkets,homelessshelters,intlgrocery,juicebars,kombucha,mexican,movietheaters,musicvenues,organic_stores,paintandsip,pawn,pubs,skate_parks,tattoo,thrift_stores,vapeshops,vegan,vegetarian,vintage,wine_bars,yoga
97034,"$84,192.00","$115,738.57","$104,020.00",-10%,,0,1,0,0,0,2,1,0,0,0,0,0,0,0,2,8,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,3,0,4
97035,"$62,089.00","$85,353.62","$73,330.00",-14%,,0,2,4,0,0,0,0,3,2,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,3,4
97080,"$56,742.00","$78,003.11","$63,032.00",-19%,,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97201,"$42,569.00","$58,519.52","$44,393.00",-24%,,0,0,3,0,0,4,0,1,7,0,6,1,0,0,1,27,0,0,1,0,0,0,2,0,2,0,0,2,0,14,0,5,0,2,0,4,0,0,0,0,5,1,0,0,3
97202,"$39,879.00","$54,821.58","$55,606.00",1%,,0,3,12,0,0,9,4,2,13,3,6,8,0,0,2,32,0,0,8,0,2,0,11,0,3,0,0,5,3,18,0,4,0,1,0,13,0,0,2,0,11,0,10,3,18
97203,"$35,266.00","$48,480.10","$42,912.00",-11%,,0,0,7,0,0,2,1,0,5,0,3,3,0,0,0,12,0,0,3,0,0,0,5,1,0,0,0,0,1,8,0,0,0,0,1,8,0,0,1,0,1,0,2,0,1
97204,"$10,465.00","$14,386.21","$13,576.00",-6%,,0,0,11,0,0,1,0,2,2,0,5,0,3,0,6,36,0,0,5,0,0,0,12,0,2,0,0,3,0,11,0,5,0,0,1,4,0,0,0,0,4,5,0,1,3
97205,"$18,158.00","$24,961.77","$29,782.00",19%,Y,0,0,15,0,2,1,0,0,4,0,2,0,0,0,5,31,1,0,3,0,0,0,2,0,0,0,0,3,0,8,1,3,0,0,0,3,0,0,0,0,0,1,3,0,7
97206,"$38,040.00","$52,293.51","$52,414.00",0%,,0,0,12,1,0,5,3,0,10,0,6,5,3,0,0,21,0,0,5,3,3,0,2,0,2,0,0,2,0,24,0,3,0,0,2,4,1,0,5,0,0,0,5,1,6
97209,"$22,185.00","$30,497.68","$42,936.00",41%,Y,0,3,19,0,0,7,1,4,11,5,9,2,2,0,8,38,0,3,7,0,2,0,37,0,2,0,0,2,0,16,1,6,0,0,0,13,0,2,1,0,0,3,8,6,5
97210,"$42,759.00","$58,780.71","$71,949.00",22%,,0,0,5,0,0,2,2,0,0,0,1,3,0,0,2,24,0,0,0,1,0,1,9,0,0,0,0,1,0,8,0,0,0,1,0,1,0,0,2,0,0,0,4,3,6
97211,"$40,582.00","$55,787.99","$62,938.00",13%,,0,1,12,1,0,2,5,0,9,0,5,5,0,0,2,24,0,0,2,0,1,1,8,0,0,0,0,3,0,17,0,6,0,0,0,5,0,0,1,0,7,1,5,2,9
97212,"$53,679.00","$73,792.41","$84,100.00",14%,,0,0,5,0,0,3,0,6,5,0,0,4,0,0,0,10,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,3,0,1,0,3,0,0,2,0,2,1,4,1,9
97213,"$44,395.00","$61,029.72","$58,176.00",-5%,,0,0,5,0,0,4,5,0,8,1,2,4,2,0,0,19,1,0,2,1,0,0,4,0,0,0,0,0,0,4,0,0,0,0,1,8,0,0,5,0,0,1,8,1,8
97214,"$35,013.00","$48,132.30","$52,440.00",9%,,1,0,26,0,0,17,8,0,25,4,6,8,3,1,8,46,0,0,10,0,1,0,20,0,4,1,0,6,0,27,1,7,0,0,0,9,0,0,7,0,13,3,22,7,13
97215,"$48,262.00","$66,345.68","$68,016.00",3%,,0,0,4,1,0,1,2,0,5,0,4,0,0,0,0,12,0,0,7,0,0,0,2,0,0,0,0,2,0,5,0,0,0,0,0,6,0,0,0,0,0,2,5,1,8
97216,"$38,066.00","$52,329.25","$44,919.00",-14%,,0,0,1,0,0,1,9,0,3,0,3,2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
97217,"$38,442.00","$52,846.14","$53,704.00",2%,,0,0,16,0,0,3,2,1,13,0,4,5,3,0,4,19,0,0,3,1,0,0,3,0,2,0,0,0,1,22,0,4,0,0,1,9,0,0,0,0,6,0,5,4,3
97218,"$37,011.00","$50,878.95","$48,448.00",-5%,,0,0,6,0,0,2,3,0,5,0,2,1,0,0,0,10,2,0,0,1,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1
97219,"$58,461.00","$80,366.22","$77,598.00",-3%,,0,0,3,0,0,2,3,0,4,0,4,7,4,0,0,12,0,0,1,1,1,1,0,1,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,2,0,1,0,3
97220,"$39,649.00","$54,505.40","$46,908.00",-14%,,0,0,9,0,0,2,4,0,4,0,1,5,4,0,0,9,0,0,3,0,0,0,0,0,0,0,1,2,0,13,0,0,0,0,3,1,1,0,2,0,0,0,1,0,0
97221,"$65,229.00","$89,670.18","$92,174.00",3%,,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
97222,"$40,899.00","$56,223.77","$49,558.00",-12%,,0,0,0,0,0,1,2,0,5,0,3,1,0,0,0,15,0,0,0,0,0,0,1,1,1,0,0,0,0,10,0,0,0,0,0,3,0,0,4,1,1,0,1,1,0
97223,"$52,527.00","$72,208.76","$65,109.00",-10%,,0,0,4,0,0,2,5,0,0,3,2,2,0,0,0,24,0,0,0,3,0,0,2,3,2,0,1,2,0,14,0,1,0,1,2,8,0,1,5,0,0,0,2,0,1
97225,"$53,020.00","$72,886.49","$72,010.00",-1%,,0,0,2,0,0,0,2,2,3,0,1,0,1,0,0,8,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,1,0,0,0,2,0,0
97227,"$27,432.00","$37,710.72","$44,342.00",18%,Y,0,1,8,1,0,4,1,0,6,3,6,1,0,0,1,7,1,0,2,0,0,0,3,0,0,0,0,0,0,8,0,6,1,0,0,5,0,0,0,0,3,0,3,2,2
97229,"$70,082.00","$96,341.59","$98,303.00",2%,,0,1,0,0,0,0,3,1,2,0,0,0,0,0,0,8,0,1,2,1,0,0,1,0,2,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,1,0,4,3,3
97230,"$41,262.00","$56,722.79","$46,237.00",-18%,,0,0,3,0,0,0,3,0,0,0,0,5,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0
97231,"$65,164.00","$89,580.82","$85,481.00",-5%,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97232,"$35,755.00","$49,152.33","$45,671.00",-7%,,0,2,9,0,0,1,6,3,10,1,5,7,1,0,5,34,0,1,6,0,2,0,5,0,2,0,0,1,0,11,0,2,0,0,0,3,0,0,7,0,7,2,7,5,8
97233,"$35,291.00","$48,514.47","$39,150.00",-19%,,0,0,4,0,0,0,3,0,0,0,2,1,1,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,23,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
