 ZCTA5,Median Income 2000,Inflation Adjusted 2000,Median Income 2014,percent change,gentrified,autocustomization,autopartssupplies,barbers,barreclasses,bars,beergardens,bespoke,bikes,blowoutservices,bodyshops,bootcamps,breakfast_brunch,breweries,cafes,cannabis_clinics,cannabisdispensaries,carshares,cocktailbars,coffee,coffeeroasteries,cyclingclasses,divebars,dog_parks,doulas,empanadas,foodbanks,galleries,hairstylists,healthmarkets,homelessshelters,intlgrocery,juicebars,kombucha,mexican,movietheaters,musicvenues,organic_stores,paintandsip,pawn,pets,pubs,skate_parks,tattoo,thrift_stores,vegan,vegetarian,vintage,wine_bars,yoga
94102,"$22,351.00","$30,725.88","$24,127.00",-21%,,0,0,9,2,19,0,3,0,4,8,0,20,0,22,1,0,1,19,64,0,0,5,0,0,0,0,50,22,1,1,0,3,0,19,0,20,0,0,0,0,4,0,3,0,3,1,2,11,11
94103,"$31,131.00","$42,795.72","$41,612.00",-3%,,0,6,7,2,21,0,2,1,0,30,4,23,3,21,18,0,0,12,66,0,0,11,1,0,3,0,69,18,0,1,0,12,0,33,0,19,0,1,5,0,0,3,9,0,8,0,3,5,17
94104,"$14,609.00","$20,082.96","$80,341.00",300%,Y,0,0,10,0,3,0,0,0,3,0,0,4,0,3,0,0,0,1,20,0,0,1,0,1,0,0,7,9,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
94105,"$88,976.00","$122,315.13","$170,656.00",40%,,0,0,1,1,7,0,0,1,0,0,0,11,2,7,6,0,0,7,45,2,2,2,0,1,0,0,18,5,0,0,0,9,0,16,0,5,1,0,0,1,2,0,1,0,0,2,0,4,3
94107,"$61,362.00","$84,354.22","$120,610.00",43%,,0,1,3,1,18,0,1,6,0,22,7,14,11,10,2,0,0,6,33,0,3,1,1,1,0,1,30,7,4,0,0,2,1,14,0,7,0,1,0,0,1,0,1,1,0,0,2,7,15
94108,"$31,542.00","$43,360.72","$36,875.00",-15%,,0,0,16,0,5,0,6,0,8,0,1,8,0,9,1,0,1,9,37,0,0,4,0,0,0,0,43,54,3,0,2,4,0,4,0,0,0,0,2,0,3,0,1,0,1,2,2,5,3
94109,"$43,444.00","$59,722.38","$63,173.00",6%,,0,0,9,0,21,1,1,0,3,19,7,16,1,22,4,0,0,12,37,0,0,8,1,3,0,0,39,23,5,1,0,7,0,8,0,7,0,0,0,0,6,0,3,0,1,0,11,11,9
94110,"$53,795.00","$73,951.88","$84,488.00",14%,,0,4,18,1,36,0,1,1,0,15,3,23,2,16,7,0,0,13,52,0,0,24,1,7,2,0,59,14,3,0,0,9,0,76,1,10,1,0,5,0,8,0,23,3,5,2,16,9,45
94111,"$56,569.00","$77,765.29","$103,472.00",33%,,0,0,10,1,11,0,3,2,0,0,4,5,0,11,2,0,0,0,46,0,0,0,0,0,0,0,7,7,2,0,0,4,0,15,0,2,0,0,0,0,5,0,0,0,0,3,0,5,6
94112,"$57,629.00","$79,222.47","$71,505.00",-10%,,1,2,15,0,4,1,0,0,0,6,0,3,0,1,8,0,0,0,15,0,0,6,2,4,0,0,2,6,0,0,0,0,0,15,0,0,0,0,0,0,1,1,6,0,0,0,0,1,8
94114,"$75,727.00","$104,101.76","$122,970.00",18%,,0,0,17,0,3,0,0,0,1,2,3,14,1,2,6,0,0,4,27,0,1,3,2,2,0,0,6,11,6,0,0,5,0,10,0,2,0,0,0,0,3,0,8,0,0,0,6,5,18
94115,"$54,879.00","$75,442.05","$85,330.00",13%,,0,2,6,0,6,0,0,0,4,3,0,0,1,9,0,0,0,0,24,0,0,1,0,1,1,0,11,9,1,0,1,1,0,3,0,2,0,0,0,0,1,0,0,0,0,0,4,4,20
94116,"$66,627.00","$91,592.00","$84,828.00",-7%,,0,1,6,0,4,0,0,0,0,1,0,4,0,0,0,0,0,0,8,0,0,0,0,4,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2
94117,"$63,983.00","$87,957.30","$103,333.00",17%,,0,0,10,0,7,0,0,0,0,2,4,11,3,8,8,0,0,4,27,1,0,6,2,6,0,0,7,13,8,0,0,0,0,11,0,6,0,0,0,0,6,1,9,0,2,0,13,5,35
94118,"$61,609.00","$84,693.77","$82,993.00",-2%,,0,0,2,0,8,0,0,0,2,2,0,7,0,7,2,0,0,0,29,0,0,4,0,0,0,0,17,8,0,0,2,0,0,4,0,4,0,0,0,0,6,0,3,0,0,0,5,4,19
94121,"$61,776.00","$84,923.34","$70,220.00",-17%,,0,0,7,0,1,0,0,0,0,0,2,6,2,5,1,0,0,0,18,1,0,2,1,4,0,0,6,4,2,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,2,0,7
94122,"$60,733.00","$83,489.53","$86,070.00",3%,,0,1,9,1,3,0,0,0,0,0,3,7,2,6,0,1,0,0,33,0,0,3,2,5,0,0,7,4,3,0,1,6,0,10,0,1,0,0,0,0,4,0,6,1,3,0,4,3,13
94123,"$84,710.00","$116,450.67","$121,200.00",4%,,0,0,9,6,7,0,0,0,4,2,3,11,0,4,1,0,0,8,15,2,1,3,0,1,0,0,8,28,0,0,0,5,0,10,0,0,1,0,1,0,4,0,0,0,2,1,4,7,13
94124,"$37,146.00","$51,064.53","$49,594.00",-3%,,1,8,6,0,2,0,0,1,0,25,0,4,4,4,1,0,0,0,13,0,0,0,0,0,0,0,15,0,1,0,0,1,0,17,0,2,0,0,0,0,0,1,1,2,0,0,2,1,2
94127,"$95,313.00","$131,026.59","$131,108.00",0%,,0,0,5,2,0,0,0,0,1,0,0,4,0,0,0,1,0,0,9,0,0,3,0,1,0,0,0,6,0,0,0,0,0,5,0,1,0,0,2,0,3,0,2,0,0,0,2,2,6
94129,"$73,571.00","$101,137.91","$144,886.00",43%,,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,5,0,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
